0.0 3 
5.021452 4 553
5.029447 4 553
5.041843 4 553
5.050839 4 553
5.062838 4 553
5.070893 4 553
5.082873 4 553
5.090898 4 553
5.103935 4 553
5.111934 4 553
5.123966 4 553
5.131975 4 553
5.144958 4 553
5.153005 4 553
5.164968 4 553
5.172965 2 553
5.185946 2 553
5.193943 2 553
5.206019 2 553
5.213982 2 553
5.226965 2 553
5.234976 2 553
5.246968 2 553
5.254965 2 553
5.266951 2 553
5.275948 0 553
5.28796 0 553
5.299951 0 553
5.307954 0 553
5.320949 0 553
5.328939 0 553
5.340979 0 553
5.348973 0 553
5.361974 0 552
5.369966 0 553
5.381956 4 553
5.390012 4 553
5.401995 4 553
5.410991 4 553
5.423003 4 553
5.431 4 553
5.443032 4 553
5.452029 4 553
5.464026 4 553
5.472036 4 553
5.484895 1 553
5.492585 1 553
5.504616 1 553
5.513574 1 553
5.525616 1 553
5.533683 1 553
5.545647 1 553
5.554638 1 553
5.566634 1 553
5.57468 1 553
5.586641 5 553
5.594642 5 553
5.607658 5 553
5.615655 5 553
5.627524 5 553
5.636545 5 553
5.648545 5 553
5.656511 5 553
5.668524 5 553
5.677516 5 553
5.689518 1 553
5.697499 1 553
5.709508 1 553
5.718492 1 553
5.730488 1 553
5.738513 1 553
5.750481 1 553
5.759478 1 553
5.771483 1 553
5.779478 1 553
5.791469 2 553
5.799466 2 553
5.812476 2 553
5.820509 2 553
5.832471 2 553
5.840453 2 553
5.853449 2 553
5.861446 2 553
5.873442 2 553
5.881439 2 553
5.894452 2 553
5.902443 2 553
5.914451 2 553
5.922427 2 553
5.93546 2 553
5.943454 2 553
5.955499 2 553
5.963477 2 553
5.976472 2 553
5.988498 2 553
5.996494 3 553
6.008491 3 553
6.017494 3 553
6.029471 3 553
6.037543 3 553
6.049538 3 553
6.057507 3 553
6.070517 3 553
6.078509 3 553
6.090511 3 553
6.098508 0 552
6.111499 0 553
6.119502 0 553
6.131502 0 553
6.139543 0 553
6.15252 0 553
6.16053 0 553
6.172529 0 553
6.180521 0 553
6.192507 0 553
6.20152 2 553
6.2135 2 553
6.221514 2 553
6.23351 2 553
6.241968 2 553
6.253979 2 553
6.26296 2 553
6.275005 2 553
6.282967 2 553
6.29495 2 553
6.303947 2 553
6.315959 2 553
6.323956 2 553
6.336408 2 553
6.344328 2 553
6.357324 2 553
6.365341 2 553
6.377332 2 553
6.385331 2 553
6.398315 2 553
6.406324 5 553
6.418345 5 553
6.426355 5 553
6.438895 5 553
6.44689 5 553
6.458875 5 553
6.467881 5 553
6.479877 5 553
6.487879 5 553
6.49986 5 553
6.508865 0 553
6.520869 0 553
6.528852 0 553
6.541579 0 553
6.549575 0 553
6.561958 0 553
6.569992 0 553
6.581947 0 553
6.590935 0 553
6.602947 0 553
6.610939 2 553
6.623199 2 553
6.631201 2 553
6.643235 2 553
6.656236 2 553
6.664236 2 553
6.676252 2 553
6.684941 2 553
6.696946 2 553
6.705247 2 553
6.717229 1 553
6.725237 1 553
6.737238 1 553
6.746221 1 553
6.758217 1 553
6.766233 1 553
6.77921 1 553
6.787269 1 553
6.799277 1 553
6.807249 1 553
6.819259 5 553
6.828251 5 553
6.840291 5 553
6.848278 5 553
6.860274 5 553
6.869274 5 553
6.881268 5 553
6.88928 5 553
6.901276 5 553
6.910258 5 553
6.922264 1 553
6.930254 1 553
6.942263 1 553
6.951245 1 553
6.963242 1 553
6.971255 1 553
6.983928 1 553
6.992272 1 553
7.004317 1 553
7.012278 1 553
7.024271 4 553
7.033099 4 553
7.045115 4 553
7.053095 4 553
7.065102 4 553
7.074133 4 553
7.08613 4 553
7.094127 4 553
7.106138 4 553
7.11512 4 553
7.127269 0 553
7.135272 0 553
7.147259 0 553
7.155288 0 553
7.168297 0 553
7.176265 0 553
7.188355 0 553
7.196316 0 553
7.208315 0 553
7.217297 0 553
7.229293 5 553
7.237324 5 553
7.24932 5 553
7.258302 5 553
7.270298 5 553
7.278295 5 553
7.290291 5 553
7.299301 5 553
7.311287 5 553
7.319295 5 553
7.331291 0 553
7.344274 0 553
7.352271 0 553
7.364268 0 553
7.373265 0 553
7.385261 0 553
7.393258 0 553
7.405254 0 553
7.413252 0 553
7.426248 0 553
7.434245 0 553
7.446242 0 553
7.454238 0 553
7.467235 0 553
7.475232 0 553
7.487228 0 553
7.495226 0 553
7.508222 0 553
7.516219 0 553
7.528216 0 553
7.536212 4 553
7.548209 4 553
7.557207 4 553
7.569202 4 553
7.5772 4 553
7.589195 4 553
7.598192 4 553
7.610188 4 553
7.61819 4 553
7.631041 4 553
7.639203 2 553
7.651209 2 553
7.659179 2 553
7.671191 2 553
7.680182 2 553
7.692179 2 553
7.700181 2 553
7.712162 2 553
7.721177 2 553
7.733171 2 553
7.741163 0 553
7.753164 0 553
7.762146 0 553
7.774152 0 553
7.782139 0 553
7.794145 0 553
7.803133 0 553
7.815144 0 553
7.823125 0 553
7.835137 0 553
7.844119 2 553
7.856136 2 553
7.864177 2 553
7.876188 2 553
7.884189 2 553
7.897186 2 553
7.905278 2 553
7.917274 2 553
7.925281 2 553
7.938267 2 553
7.946265 2 553
7.958346 2 553
7.966345 2 553
7.979294 2 553
7.986613 2 553
7.999621 2 553
8.011644 2 553
8.019746 2 553
8.0317 2 553
8.040747 2 553
8.052729 4 553
8.060711 4 553
8.072727 4 553
8.081704 4 553
8.0937 4 553
8.101707 4 553
8.113707 4 553
8.121706 4 553
8.134702 4 553
8.142694 4 553
8.154729 3 553
8.162726 3 553
8.175704 3 553
8.183997 3 553
8.195779 3 553
8.203783 3 553
8.216759 3 553
8.224767 3 553
8.2368 3 553
8.244805 3 553
8.256813 1 553
8.265828 1 553
8.277873 1 553
8.286431 1 553
8.297883 1 553
8.306871 1 553
8.319162 1 553
8.326935 1 553
8.339015 1 553
8.347963 1 553
8.359972 1 553
8.367975 1 553
8.379954 1 553
8.388951 1 553
8.400995 1 553
8.408944 1 553
8.420955 1 553
8.429937 1 553
8.441948 1 553
8.449945 1 553
8.461927 5 553
8.469973 5 553
8.482939 5 553
8.49093 5 553
8.502934 5 553
8.510911 5 553
8.52392 5 553
8.531905 5 553
8.543975 5 553
8.551972 5 553
8.564958 1 553
8.573004 1 553
8.584971 1 553
8.592949 1 553
8.605949 1 553
8.613944 1 553
8.625938 1 553
8.633951 1 553
8.646947 1 553
8.654944 1 553
8.666927 3 553
8.678934 3 553
8.687928 3 553
8.699964 3 553
8.707944 3 553
8.719957 3 553
8.727905 3 553
8.74097 3 553
8.748973 3 553
8.760964 3 553
8.768966 3 553
8.781965 3 553
8.790023 3 553
8.802006 3 553
